scientific_name_lower,taxon,status,license,attribution,image_url,commons_file
tliltocatl verdezi,tarantula,verified,CC BY-SA 4.0,"MrKevin04 / Peter Coxhead, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/8/82/Brachypelma_verdezi_2014-07-06_processed.jpg,Brachypelma verdezi 2014-07-06 processed.jpg
thrixopelma ockerti,tarantula,verified,CC BY-SA 4.0,"ArachnoVegan, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/a/a4/Thrixopelma_ockerti_Juvenile_Female.jpg,Thrixopelma ockerti Juvenile Female.jpg
ybyrapora gamba,tarantula,verified,CC BY 3.0,"C. S. Fukushima / P. Coxhead, CC BY 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/0/0c/Ybyrapora_gamba_female_ZK296.jpg,Ybyrapora gamba female ZK296.jpg
ybyrapora sooretama,tarantula,verified,CC BY 3.0,"C. S. Fukushima / P. Coxhead, CC BY 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/7/74/Ybyrapora_sooretama_female_ZK298.jpg,Ybyrapora sooretama female ZK298.jpg
hadrurus spadix,scorpion,verified,CC BY-SA 3.0,"Gloria satanas (English Wikipedia), CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/2/2c/Hadrurus_spadix.png,Hadrurus spadix.png
hadrurus arizonensis,scorpion,verified,Public domain,"Robb Hannawacker (Joshua Tree NP), public domain, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/e/ea/Giant_hairy_scorpion%2C_Twentynine_Palms%2C_Ca_2813_RobbHannawacker.jpg,"Giant hairy scorpion, Twentynine Palms, Ca 2813 RobbHannawacker.jpg"
parabuthus transvaalicus,scorpion,verified,CC BY-SA 4.0,"RichardMcJimsey, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/6/66/Parabuthus_transvaalicus.jpg,Parabuthus transvaalicus.jpg
hadogenes troglodytes,scorpion,verified,CC BY-SA 4.0,"Maans Booysen / Birding Weto, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/7/70/Hadogenes_troglodytes%2C_Madikwe-wildreservaat%2C_Birding_Weto%2C_a.jpg,"Hadogenes troglodytes, Madikwe-wildreservaat, Birding Weto, a.jpg"
tityus serrulatus,scorpion,verified,CC BY-SA 4.0,"Fernanda, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/1/1a/Scorpiones_Moreira.jpg,Scorpiones Moreira.jpg
heterometrus laoticus,scorpion,verified,CC BY-SA 3.0,"Chris huh, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/8/8d/Asian_forest_scorpion_in_Khao_Yai_National_Park.JPG,Asian forest scorpion in Khao Yai National Park.JPG
androctonus crassicauda,scorpion,verified,CC BY-SA 3.0,"Per-Anders Olsson, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/9/93/Black_scorpion.jpg,Black scorpion.jpg
androctonus australis,scorpion,verified,Public domain,"HTO, public domain, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/5/51/Androctonus_australis_02.JPG,Androctonus australis 02.JPG
tityus stigmurus,scorpion,verified,CC BY-SA 3.0,"Mberigan, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/8/89/Tityus_stigmurus.jpg,Tityus stigmurus.jpg
centruroides gracilis,scorpion,verified,CC BY 2.0,"Max0rz (Flickr), CC BY 2.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/6/6c/Centruroides_gracilis.jpg,Centruroides gracilis.jpg
heterometrus spinifer,scorpion,verified,CC BY-SA 4.0,"Jidnesh Doshi, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/8/88/Asian_Forest_Scorpion.jpg,Asian Forest Scorpion.jpg
heterometrus longimanus,scorpion,verified,CC BY-SA 3.0,"Hectonichus, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/2/25/Scorpionidae_-_Heterometrus_longimanus.JPG,Scorpionidae - Heterometrus longimanus.JPG
leiurus abdullahbayrami,scorpion,verified,Public domain,"Dalik Klavalav, public domain, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/4/45/Akrabyellow2.jpg,Akrabyellow2.jpg
hottentotta hottentotta,scorpion,verified,CC BY 4.0,"Mattia Menchetti, CC BY 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/4/43/Hottentotta_hottentotta_25494487.jpg,Hottentotta hottentotta 25494487.jpg
narceus americanus,millipede,verified,CC BY-SA 3.0,"TheAlphaWolf, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/a/ac/Narceus_americanus2.JPG,Narceus americanus2.JPG
archispirostreptus gigas,millipede,verified,CC BY-SA 3.0,"Bjørn Christian Tørrissen, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/f/f5/Archispirostreptus-Gigas-Amphitheatre.jpg,Archispirostreptus-Gigas-Amphitheatre.jpg
blaptica dubia,roach,verified,Public domain,"Nicky.Animals, public domain, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/b/b6/Dubia-cockroach-female-near-ruler.jpg,Dubia-cockroach-female-near-ruler.jpg
eublaberus posticus,roach,verified,CC BY-SA 4.0,"Sesamehoneytart, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/e/ec/Eublaberus_prosticus_Audubon_Insectarium_032015.jpg,Eublaberus prosticus Audubon Insectarium 032015.jpg
therea petiveriana,roach,verified,CC BY-SA 3.0,"Shyamal, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/d/d1/SevenSpotRoach2.jpg,SevenSpotRoach2.jpg
therea olegrandjeani,roach,verified,CC BY 4.0,"Nandini Rajamani (iNaturalist), CC BY 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/b/bb/Therea_olegrandjeani_92587673_1.jpg,Therea olegrandjeani 92587673 1.jpg
phidippus audax,true_spider,verified,CC0,"Kaldari, CC0 (public domain), via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/d/df/Kaldari_Phidippus_audax_02.jpg,Kaldari Phidippus audax 02.jpg
phidippus regius,true_spider,verified,CC BY 2.0,"Thomas Shahan, CC BY 2.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/f/fc/Female_Jumping_Spider_-_Phidippus_regius_-_Florida.jpg,Female Jumping Spider - Phidippus regius - Florida.jpg
heteropoda venatoria,true_spider,verified,CC BY-SA 4.0,"Jeevan Jose, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/e/e9/Heteropoda_venatoria-Kadavoor-2017-05-22-001.jpg,Heteropoda venatoria-Kadavoor-2017-05-22-001.jpg
hierodula membranacea,mantis,verified,CC BY 4.0,"Kristof Zyskowski (iNaturalist), CC BY 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/8/80/Hierodula_membranacea_191966853.jpg,Hierodula membranacea 191966853.jpg
phyllocrania paradoxa,mantis,verified,CC BY-SA 3.0,"Mydriatic, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/0/07/Phyllocrania_Paradoxa_M_Kopfdetail.JPG,Phyllocrania Paradoxa M Kopfdetail.JPG
deroplatys desiccata,mantis,verified,Public domain,"Adrian Pingstone, public domain, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/7/71/Bristol.zoo.dead.leaf.mantis.arp.jpg,Bristol.zoo.dead.leaf.mantis.arp.jpg
sphodromantis lineola,mantis,verified,CC BY-SA 3.0,"R.J. Blach, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/5/5a/Sphrodomantis_lineola_01.jpg,Sphrodomantis lineola 01.jpg
mastigoproctus giganteus,vinegaroon,verified,CC BY-SA 4.0,"Meghan Cassidy (iNaturalist), CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/a/a5/Mastigoproctus_giganteus_224269691.jpg,Mastigoproctus giganteus 224269691.jpg
damon diadema,whip_spider,verified,CC BY-SA 3.0,"Acrocynus, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/f/f4/Damon_diadema_003_L.D.jpg,Damon diadema 003 L.D.jpg
damon medius,whip_spider,verified,CC BY-SA 3.0,"Amada44, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/5/5c/Damon_medius_5454.jpg,Damon medius 5454.jpg
damon variegatus,whip_spider,verified,CC BY 4.0,"Wynand Uys (iNaturalist), CC BY 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/b/b8/Damon_variegatus_176892688.jpg,Damon variegatus 176892688.jpg
phrynus marginemaculatus,whip_spider,verified,CC BY 4.0,"Nick Tobler (Cowturtle, iNaturalist), CC BY 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/c/c2/Phrynus_marginemaculatus_in_a_palm.jpg,Phrynus marginemaculatus in a palm.jpg
scolopendra heros,centipede,verified,CC BY 2.0,"John (Flickr), CC BY 2.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/0/0b/Scolopendra_heros.jpg,Scolopendra heros.jpg
scolopendra gigantea,centipede,verified,CC BY-SA 3.0,"Katka Nemčoková, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/8/8b/Scolopendra_gigantea.jpg,Scolopendra gigantea.jpg
scolopendra subspinipes,centipede,verified,CC BY-SA 4.0,"Richard N Horne, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/2/2a/Scolopendra_subspinipes_as_found_on_the_Hawaiian_Island_of_Maui.jpg,Scolopendra subspinipes as found on the Hawaiian Island of Maui.jpg
scolopendra polymorpha,centipede,verified,CC BY 2.0,"Flickr contributor, CC BY 2.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/1/15/Scolopendra_polymorpha_1.jpg,Scolopendra polymorpha 1.jpg
ethmostigmus trigonopodus,centipede,verified,CC BY-SA 2.0,"Bernard DUPONT, CC BY-SA 2.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/d/d9/Blue-legged_Centipede_%28Ethmostigmus_trigonopodus%29_%2812681235843%29.jpg,Blue-legged Centipede (Ethmostigmus trigonopodus) (12681235843).jpg
scolopendra cingulata,centipede,license_pending,,,https://upload.wikimedia.org/wikipedia/commons/d/db/Scolopendra_cingulata_-_D7-08-2291.JPG,Scolopendra cingulata - D7-08-2291.JPG
scolopendra dehaani,centipede,license_pending,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/Scolopendra_dehaani_Vietnam.jpg,Scolopendra dehaani Vietnam (verify exact filename - non-ASCII)
scolopendra alternans,centipede,license_pending,,,https://upload.wikimedia.org/wikipedia/commons/c/ca/Caribbean_Giant_Centipede_imported_from_iNaturalist_photo_47261476_on_23_September_2022.jpg,Caribbean Giant Centipede imported from iNaturalist photo 47261476 on 23 September 2022.jpg
rhysida longipes,centipede,license_pending,,,https://upload.wikimedia.org/wikipedia/commons/4/42/Minor_Blueleg_Centipede_imported_from_iNaturalist_photo_29055196_on_23_December_2022.jpg,Minor Blueleg Centipede imported from iNaturalist photo 29055196 on 23 December 2022.jpg
antillena rickwesti,tarantula,review_quality,CC (verify),"taxonomic figure - not a display photo; source better image if possible",https://upload.wikimedia.org/wikipedia/commons/5/5d/Antillena_rickwesti_%2810.3897-zookeys.659.10717%29_Figures_293%E2%80%93294.jpg,Antillena rickwesti (zookeys figure)
pandinus imperator,scorpion,verified,CC BY-SA 3.0,"A007932008, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/2/24/Adult_Male_Emperor_scorpion.jpeg,Adult Male Emperor scorpion.jpeg
gromphadorhina portentosa,roach,verified,CC0,"Peter Cooper Jr., CC0 (public domain), via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/b/bd/Cici_the_Madagascan_Hissing_Cockroach%2C_Capen_Hill_2026-06-01.jpg,"Cici the Madagascan Hissing Cockroach, Capen Hill 2026-06-01.jpg"
leiurus quinquestriatus,scorpion,verified,CC BY-SA 3.0,"SuperJew, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/0/0a/Deathstalker.jpg,Deathstalker.jpg
centruroides sculpturatus,scorpion,verified,Public domain,"Gary M. Stolz / USFWS, public domain, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/d/d1/Arizona_bark_scorpion_centruroides_sculpturatus.jpg,Arizona bark scorpion centruroides sculpturatus.jpg
vaejovis spinigerus,scorpion,verified,CC BY-SA 3.0,"Acrocynus, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/4/4a/Paravaejovis_spinigerus_002.jpg,Paravaejovis spinigerus 002.jpg
smeringurus mesaensis,scorpion,verified,CC BY 4.0,"Chris Brown, CC BY 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/4/43/Smeringurus_mesaensis.jpg,Smeringurus mesaensis.jpg
